application/x-gramps-xml gramps
application/x-gtar gtar
application/x-tads gam
image/g3fax g3
image/gif gif
model/vnd.gdl gdl
model/vnd.gtw gtw
text/vnd.graphviz gv
application/geo+json geojson
application/gzip gz
application/vnd.google-apps.document gdoc
application/vnd.google-apps.presentation gslides
application/vnd.google-apps.spreadsheet gsheet
model/gltf+json gltf
model/gltf-binary glb
text/vnd.familysearch.gedcom ged
application/inkml+xml ink
application/inkml+xml inkml
application/ipfix ipfix
application/vnd.accpac.simply.imp imp
application/vnd.astraea-software.iota iota
application/vnd.ibm.rights-management irm
application/vnd.iccprofile icc
application/vnd.iccprofile icm
application/vnd.igloader igl
application/vnd.immervision-ivp ivp
application/vnd.immervision-ivu ivu
application/vnd.insors.igm igm
application/vnd.intergeo i2g
application/vnd.irepository.package+xml irp
application/vnd.micrografx.igx igx
application/vnd.ms-ims ims
application/vnd.shana.informed.formdata ifm
application/vnd.shana.informed.formtemplate itp
application/vnd.shana.informed.interchange iif
application/vnd.shana.informed.package ipk
application/x-install-instructions install
application/x-iso9660-image iso
image/ief ief
image/x-icon ico
model/iges igs
model/iges iges
text/calendar ics
text/calendar ifb
text/plain in
x-conference/x-cooltalk ice
application/its+xml its
application/octet-stream img
text/plain ini
application/itn itn
image/x-icns icns
application/lost+xml lostxml
application/octet-stream lrf
application/vnd.frogans.ltf ltf
application/vnd.hhe.lesson-player les
application/vnd.ibm.modcap listafp
application/vnd.ibm.modcap list3820
application/vnd.las.las+xml lasxml
application/vnd.llamagraphics.life-balance.desktop lbd
application/vnd.llamagraphics.life-balance.exchange+xml lbe
application/vnd.lotus-wordpro lwp
application/vnd.ms-lrm lrm
application/vnd.route66.link66+xml link66
application/x-latex latex
application/x-lzh-compressed lzh
application/x-lzh-compressed lha
application/x-ms-shortcut lnk
audio/vnd.lucent.voice lvp
text/plain list
text/plain log
application/lgr+xml lgr
application/x-lua-bytecode luac
text/coffeescript litcoffee
text/less less
text/x-lua lua
application/mathematica nb
application/vnd.enliven nml
application/vnd.lotus-notes nsf
application/vnd.neurolanguage.nlu nlu
application/vnd.nitf ntf
application/vnd.nitf nitf
application/vnd.noblenet-directory nnd
application/vnd.noblenet-sealer nns
application/vnd.noblenet-web nnw
application/vnd.nokia.n-gage.data ngdat
application/vnd.nokia.n-gage.symbian.install n-gage
application/vnd.wolfram.player nbp
application/x-conference nsc
application/x-dtbncx+xml ncx
application/x-netcdf nc
application/x-nzb nzb
image/vnd.net-fpx npx
text/n3 n3
text/x-nfo nfo
application/n-quads nq
application/n-triples nt
application/vnd.apple.numbers numbers
application/octet-stream bin
application/octet-stream bpk
application/vnd.bmi bmi
application/vnd.framemaker book
application/vnd.fujitsu.oasysprs bh2
application/vnd.previewsystems.box box
application/vnd.realvnc.bed bed
application/vnd.syncml.dm+wbxml bdm
application/x-bcpio bcpio
application/x-blorb blb
application/x-blorb blorb
application/x-bzip bz
application/x-bzip2 bz2
application/x-bzip2 boz
application/x-font-bdf bdf
application/x-msdownload bat
image/bmp bmp
image/prs.btif btif
application/bdoc bdoc
application/octet-stream buffer
application/vnd.balsamiq.bmml+xml bmml
application/vnd.nato.bindingdataobject+xml bdo
image/prs.btif btf
image/vnd.pco.b16 b16
model/vnd.bary bary
model/vnd.valve.source.compiled-map bsp
application/oda oda
application/oebps-package+xml opf
application/ogg ogx
application/omdoc+xml omdoc
application/onenote onetoc
application/onenote onetoc2
application/onenote onetmp
application/onenote onepkg
application/oxps oxps
application/vnd.fujitsu.oasys oas
application/vnd.fujitsu.oasys2 oa2
application/vnd.fujitsu.oasys3 oa3
application/vnd.lotus-organizer org
application/vnd.oasis.opendocument.chart odc
application/vnd.oasis.opendocument.chart-template otc
application/vnd.oasis.opendocument.database odb
application/vnd.oasis.opendocument.formula odf
application/vnd.oasis.opendocument.formula-template odft
application/vnd.oasis.opendocument.graphics odg
application/vnd.oasis.opendocument.graphics-template otg
application/vnd.oasis.opendocument.image odi
application/vnd.oasis.opendocument.image-template oti
application/vnd.oasis.opendocument.presentation odp
application/vnd.oasis.opendocument.presentation-template otp
application/vnd.oasis.opendocument.spreadsheet ods
application/vnd.oasis.opendocument.spreadsheet-template ots
application/vnd.oasis.opendocument.text odt
application/vnd.oasis.opendocument.text-master odm
application/vnd.oasis.opendocument.text-template ott
application/vnd.oasis.opendocument.text-web oth
application/vnd.openofficeorg.extension oxt
application/vnd.palm oprc
application/vnd.yamaha.openscoreformat osf
application/vnd.yamaha.openscoreformat.osfpvg+xml osfpvg
application/x-msbinder obd
application/x-tgif obj
audio/ogg oga
audio/ogg ogg
audio/ogg opus
font/otf otf
text/x-opml opml
video/ogg ogv
application/rdf+xml owl
application/vnd.openblox.game+xml obgx
application/vnd.openstreetmap.data+xml osm
application/x-virtualbox-ova ova
application/x-virtualbox-ovf ovf
model/vnd.opengex ogex
application/x-ofx ofx
application/rdf+xml rdf
application/reginfo+xml rif
application/relax-ng-compact-syntax rnc
application/resource-lists+xml rl
application/resource-lists-diff+xml rld
application/rls-services+xml rs
application/rpki-roa roa
application/rsd+xml rsd
application/rss+xml rss
application/rtf rtf
application/sparql-query rq
application/vnd.businessobjects rep
application/vnd.cloanto.rp9 rp9
application/vnd.data-vision.rdz rdz
application/vnd.ipunplugged.rcprofile rcprofile
application/vnd.jcp.javame.midlet-rms rms
application/vnd.nokia.radio-preset rpst
application/vnd.nokia.radio-presets rpss
application/vnd.rn-realmedia rm
application/vnd.rn-realmedia-vbr rmvb
application/x-dtbresource+xml res
application/x-rar-compressed rar
application/x-research-info-systems ris
audio/midi rmi
audio/vnd.rip rip
audio/x-pn-realaudio ram
audio/x-pn-realaudio ra
audio/x-pn-realaudio-plugin rmp
